Player,Player.1,CM,KG,Apps,Mins,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,OpenPlay,Counter,SetPiece,PenaltyTaken,OffTarget,OnPost,OnTarget,Blocked,PenaltyScored,Own,Normal,AccLB,InAccLB,AccSP,InAccSP,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Won,Lost,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Fouls,CaughtOffside,ShotsBlocked,CrossesBlocked,PassesBlocked
"1Brandon Austin26, GK","Brandon Austin 26, GK",188,82,1,90,-,-,-,-,7.11,-,-,-,-,-,-,-,-,-,-,-,4,9,14,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,2,-,-,-,-,-
"2Antonín Kinsky22, GK","Antonín Kinsky 22, GK",190,83,6,540,-,-,-,-,7.1,-,-,-,-,-,-,-,-,-,-,-,4.3,7.5,17.3,0.7,-,-,-,-,0.5,1,0.2,-,-,-,-,-,-,0.2,-,-,-,-,-,0.3,-,0.5,-,0.5,-,-,-,-,-,-
"3Son Heung-Min33, M(CLR),FW","Son Heung-Min 33, M(CLR),FW",183,78,30,2118,1.9,0.6,-,1.3,7.0,0.9,0.5,0.4,0.1,0.4,0.1,0.9,0.6,-,-,0.2,0.5,0.2,22.8,4.2,0.6,2,0.4,0.8,0.2,-,0.1,1.6,0.3,0.1,0.1,0.1,-,1.2,1.8,1,2.8,0.8,1.1,0.2,0.4,0.6,0.7,1.3,0.9,0.2,0.4,-,-,0.4
"4James Maddison28, AM(CLR)","James Maddison 28, AM(CLR)",175,73,31,1818,1.3,0.5,0.2,0.6,6.98,0.9,0.1,0.3,-,0.4,-,0.5,0.4,-,-,0.3,1.3,1.2,30.8,3.7,0.7,2.5,0.7,1.2,0.8,0.2,0.2,1.1,0.5,0.2,0.1,0.1,-,0.7,1.4,1.1,2.5,0.7,0.8,0.2,0.3,1,0.6,1.6,2.1,1,0.1,0.1,0.1,0.4
"5Pedro Porro26, D(R),M(R)","Pedro Porro 26, D(R),M(R)",173,69,33,2609,1.2,0.8,-,0.3,6.95,0.6,-,0.5,-,0.6,-,0.2,0.4,-,-,0.1,2.5,3.6,30.6,6.8,1.8,4.1,0.8,0.8,0.9,0.3,0.6,1.1,1.2,0.5,-,0.1,-,0.5,0.8,0.4,1.2,0.8,0.5,0.4,0.7,2,1,3,1,0.8,-,0.5,0.3,0.8
"6Dominic Solanke28, FW","Dominic Solanke 28, FW",187,80,27,2205,2.2,0.1,0.2,1.9,6.84,1.6,0.1,0.5,-,0.7,-,1,0.6,-,-,0.3,0.4,0.1,8.9,3.6,-,0.1,-,-,-,-,-,0.5,-,-,0.1,-,-,0.4,1.3,0.6,1.9,2.6,1.9,1.7,2.3,0.7,0.4,1.1,1.3,1.3,0.2,0.3,-,0.4
"7Dejan Kulusevski25, AM(CR),FW","Dejan Kulusevski 25, AM(CR),FW",186,80,32,2392,1.5,0.3,0.2,1,6.83,1.1,0.1,0.2,-,0.3,-,0.6,0.6,-,-,0.2,0.4,0.4,19.6,4.3,0.4,2.4,1.3,0.7,0.1,-,0.2,1.9,0.3,0.2,0.1,-,-,1.5,2.5,1.2,3.7,2.4,2.3,0.3,0.5,1.4,1,2.4,1.2,1.5,0.2,0.2,-,0.9
"8Cristian Romero27, D(C)","Cristian Romero 27, D(C)",185,78,18,1421,0.9,-,0.2,0.7,6.8,0.1,-,0.8,-,0.3,-,0.4,0.1,-,-,0.1,2.6,2.7,57.7,4.2,0.1,0.1,-,-,4.3,0.1,0.1,0.3,-,-,0.1,-,-,0.3,0.2,0.1,0.2,0.6,0.3,2.3,1.5,1.9,0.5,2.4,0.7,0.8,0.1,0.2,0.3,0.8
"9Brennan Johnson24, AM(CLR),FW","Brennan Johnson 24, AM(CLR),FW",186,73,33,2181,1.6,-,0.4,1.3,6.76,1.2,0.2,0.3,-,0.7,0.1,0.6,0.3,-,-,0.3,0.1,0.4,13,3.8,0.2,1.4,-,-,-,-,-,0.6,0.2,-,-,-,-,0.4,0.8,0.6,1.3,0.8,0.5,0.2,0.6,1.2,0.5,1.7,0.8,0.8,0.4,0.1,0.1,0.7
"10Djed Spence25, D(LR),M(R)","Djed Spence 25, D(LR),M(R)",185,71,25,1791,0.4,0.2,-,0.2,6.73,0.3,-,0.1,-,0.2,-,0.1,0.1,-,-,-,0.5,1.1,33.5,4.1,0.4,0.6,-,-,1.2,-,-,0.4,0.1,-,-,-,-,0.3,1.5,1.5,3,1.1,1.3,0.8,0.6,1.9,0.3,2.2,0.9,0.8,0.1,0.4,0.7,0.8
"11Guglielmo Vicario29, GK","Guglielmo Vicario 29, GK",194,83,24,2160,-,-,-,-,6.71,-,-,-,-,-,-,-,-,-,-,-,2.3,3.6,24.7,0.8,-,-,-,-,1,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,-,-,0.1,-,-,-,-,-
"12Ben Davies32, D(CL),M(L)","Ben Davies 32, D(CL),M(L)",181,77,17,1330,0.3,0.1,-,0.2,6.67,0.1,-,0.2,-,0.2,-,0.1,0.1,-,-,-,2.2,2.7,50.2,4.4,0.1,0.2,-,-,1.4,0.1,-,0.1,-,-,-,-,-,0.1,-,0.1,0.1,0.3,-,3.1,2.6,1,0.5,1.5,0.4,1,-,1.1,0.1,0.5
"13Rodrigo Bentancur28, M(C)","Rodrigo Bentancur 28, M(C)",187,72,26,1654,0.8,0.3,-,0.5,6.66,0.4,-,0.5,-,0.3,-,0.2,0.3,-,-,0.1,0.9,0.6,35.3,4.2,0.1,0.1,-,-,1.2,-,0.1,0.3,-,-,-,-,-,0.3,0.4,0.3,0.7,0.7,0.8,1.4,1.2,1.5,0.8,2.3,0.4,1.3,-,0.3,-,0.7
"14Destiny Udogie22, D(L),M(L)","Destiny Udogie 22, D(L),M(L)",186,73,25,1933,0.2,-,-,0.2,6.64,0.2,-,-,-,-,-,-,0.1,-,-,-,0.5,0.4,33.2,4.1,0.2,0.6,-,-,1.1,-,0.1,0.6,0.1,-,-,-,-,0.5,0.8,0.5,1.3,1.5,0.8,0.5,0.5,3,0.6,3.6,1.5,1.2,0.1,0.2,0.3,1.4
"15Kevin Danso27, D(C)","Kevin Danso 27, D(C)",190,85,10,843,0.7,0.2,0.1,0.4,6.61,0.2,-,0.5,-,0.4,-,0.3,-,-,-,-,1.8,3,46.1,4.5,0.1,-,-,-,1.7,-,-,0.2,-,-,-,-,-,0.2,0.1,0.2,0.3,0.8,0.3,2.1,1.2,0.7,0.5,1.2,1.3,0.9,-,1.4,0.1,0.1
"16Mathys Tel20, AM(L),FW","Mathys Tel 20, AM(L),FW",183,77,13,913,1.8,0.3,-,1.5,6.56,0.9,0.2,0.6,0.1,0.4,-,0.7,0.7,0.1,-,0.1,0.8,0.4,12.4,3.6,0.5,2.2,0.2,0.5,-,-,0.2,0.8,0.4,0.1,-,-,-,0.7,2.9,1.2,4.1,2.2,1.2,0.3,0.5,1.2,0.6,1.8,1.2,1.1,0.1,0.1,-,0.5
"17Pape Matar Sarr23, M(C)","Pape Matar Sarr 23, M(C)",185,70,36,1917,0.9,0.6,0.1,0.3,6.53,0.7,-,0.2,-,0.4,-,0.4,0.2,-,-,0.1,0.4,0.5,23.9,3,0.1,0.3,-,-,0.3,-,0.1,0.4,-,-,-,-,-,0.4,0.5,0.3,0.8,0.8,0.6,0.9,1.3,1.4,0.4,1.7,1,0.9,0.1,0.3,-,0.4
"18Fraser Forster37, GK","Fraser Forster 37, GK",201,93,7,630,-,-,-,-,6.52,-,-,-,-,-,-,-,-,-,-,-,2.1,3.3,17.6,0.9,-,-,-,-,1.3,1,-,-,-,-,-,-,-,-,-,0.1,0.1,0.1,-,0.1,-,-,0.1,0.1,-,-,-,-,-,-
"19Micky van de Ven24, D(CL)","Micky van de Ven 24, D(CL)",193,81,13,1019,0.5,-,-,0.5,6.5,-,-,0.5,-,0.2,-,0.2,0.1,-,-,-,1.5,2.2,54.3,3.3,-,-,-,-,1.4,-,-,0.2,-,-,-,-,-,0.2,0.3,0.3,0.6,0.4,0.4,1.5,1.5,0.8,0.5,1.2,0.7,0.8,-,0.6,0.1,0.3
"20Lucas Bergvall19, DMC","Lucas Bergvall 19, DMC",187,74,27,1206,0.4,0.1,-,0.3,6.47,0.4,-,-,-,0.2,-,0.1,0.2,-,-,-,1.1,0.5,21.5,2.4,0.3,0.4,0.2,0.1,0.7,-,0.1,0.3,0.1,-,-,-,-,0.3,0.9,0.8,1.7,0.7,0.7,0.3,0.3,1.4,0.6,2,0.6,0.7,-,0.3,-,0.4
"21Yves Bissouma29, M(C)","Yves Bissouma 29, M(C)",182,80,28,1408,0.4,0.3,-,0.1,6.39,0.3,-,0.1,-,0.1,-,0.1,0.1,-,-,0.1,0.7,0.8,26.2,2.5,-,-,-,-,1.5,-,-,0.2,-,-,-,-,-,0.2,0.5,0.3,0.8,0.9,0.5,0.3,0.3,1.8,0.5,2.3,0.6,1,-,0.2,0.2,0.2
"22Richarlison28, AM(CLR),FW","Richarlison 28, AM(CLR),FW",184,83,15,502,1.1,-,0.3,0.8,6.37,0.8,-,0.3,-,0.5,-,0.5,0.1,-,-,0.3,0.1,0.1,3.9,2.3,0.1,0.3,-,-,0.1,-,-,0.3,0.1,-,-,-,-,0.2,1,0.1,1.1,0.6,0.5,0.7,1.5,0.3,0.2,0.5,0.9,0.5,0.2,0.1,-,-
"23Sergio Reguilón28, D(L),M(L)","Sergio Reguilón 28, D(L),M(L)",178,68,4,195,0.5,0.3,0.3,-,6.36,0.3,-,0.3,-,0.3,-,-,0.3,-,-,-,0.3,2.5,18.8,5.3,0.5,2.5,-,0.5,0.3,-,-,0.3,0.3,-,-,-,-,-,1,0.5,1.5,0.5,0.3,1.3,0.5,1,0.8,1.8,1.5,0.5,-,-,0.5,1.8
"24Radu Dragusin23, D(C)","Radu Dragusin 23, D(C)",191,85,16,1254,0.3,-,-,0.3,6.33,-,-,0.3,-,0.3,-,0.1,-,-,-,-,1.6,3.9,42.9,3.9,0.1,-,-,-,2.2,0.3,0.1,0.1,0.1,-,-,-,-,0.2,0.1,-,0.1,0.5,0.1,2.1,1.4,0.6,0.4,1,0.6,0.4,-,1,0.2,0.4
"25Timo Werner29, AM(CLR),FW","Timo Werner 29, AM(CLR),FW",180,75,18,508,0.4,0.2,-,0.3,6.29,0.3,0.1,-,-,0.3,-,0.2,-,-,-,-,0.1,0.3,8.1,2.5,0.2,1.4,-,0.1,0.1,-,-,0.6,0.1,-,0.1,-,-,0.4,0.5,0.6,1.1,0.8,0.3,-,0.1,0.3,0.6,0.9,0.3,0.2,0.3,0.1,0.1,0.5
"26Dane Scarlett21, FW","Dane Scarlett 21, FW",180,76,3,31,0.3,-,-,0.3,6.29,0.3,-,-,-,-,-,0.3,-,-,-,-,-,0.3,1,0.3,-,-,-,-,-,-,-,0.3,-,-,-,-,-,0.3,-,-,-,-,0.3,0.3,-,0.3,-,0.3,0.3,-,0.3,-,-,-
"27Wilson Odobert20, AM(CLR),FW","Wilson Odobert 20, AM(CLR),FW",182,76,16,849,0.8,0.3,0.1,0.4,6.23,0.8,0.1,-,-,0.3,-,0.3,0.3,-,-,0.1,0.3,0.1,12.6,2.2,0.3,1.3,0.1,-,-,-,-,0.4,0.1,-,-,-,-,0.3,1.3,0.8,2,1.3,1.1,0.3,0.5,0.9,0.4,1.3,0.2,0.1,0.1,-,-,0.4
"28Archie Gray19, D(CR),DMC","Archie Gray 19, D(CR),DMC",187,70,28,1746,-,-,-,-,6.17,-,-,-,-,-,-,-,-,-,-,-,1.2,1.6,33.2,2.5,-,0.6,-,0.1,1,-,0.1,-,-,-,-,-,-,0.1,0.2,0.3,0.5,0.4,0.4,0.4,0.4,0.6,0.4,0.9,0.4,0.6,-,0.4,0.1,0.4
"29Mikey Moore18, AM(R)","Mikey Moore 18, AM(R)",180,75,10,362,0.3,0.2,-,0.1,6.09,0.2,0.1,-,-,0.1,-,0.1,0.1,-,-,-,0.1,0.1,6.3,1.3,0.1,1.5,0.3,0.3,-,-,-,0.3,0.1,-,-,-,-,0.2,1.5,0.2,1.7,1,0.7,0.1,0.6,0.2,0.4,0.6,0.7,0.3,0.3,-,-,0.2
"30Alfie Dorrington20, D(C)","Alfie Dorrington 20, D(C)",180,75,1,13,-,-,-,-,6.08,-,-,-,-,-,-,-,-,-,-,-,2,-,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"31Will Lankshear20, FW","Will Lankshear 20, FW",188,80,3,10,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,-,-,-,-,-,-,-,0.7,-,-,-,-
